client_id,went_back,variation
169,3,Unknown
336,0,Unknown
546,3,Unknown
555,3,Test
647,3,Test
722,6,Unknown
786,3,Unknown
805,4,Unknown
832,5,Unknown
934,0,Test
1028,6,Control
1039,3,Unknown
1104,0,Control
1186,2,Control
1195,3,Control
1197,5,Control
1281,3,Unknown
1336,3,Test
1346,5,Test
1357,3,Unknown
1368,0,Control
1399,4,Unknown
1508,3,Unknown
1516,9,Test
1531,3,Unknown
1543,3,Unknown
1621,3,Unknown
1643,4,Test
1677,5,Unknown
1680,3,Unknown
1702,0,Test
1711,0,Unknown
1755,6,Test
1836,6,Test
1894,3,Unknown
1936,5,Test
1941,6,Unknown
2078,6,Unknown
2130,3,Unknown
2439,0,Control
2476,0,Unknown
2581,0,Control
2638,0,Unknown
2720,0,Test
2894,5,Unknown
3232,3,Test
3272,3,Unknown
3572,3,Test
3647,3,Control
3741,3,Unknown
3743,3,Control
3835,2,Unknown
3891,6,Unknown
3989,3,Unknown
4097,5,Unknown
4360,1,Unknown
4369,3,Test
4484,3,Test
4603,3,Test
4630,3,Unknown
4653,0,Unknown
4717,6,Test
4838,3,Unknown
4870,3,Test
4955,5,Unknown
5071,3,Unknown
5271,3,Unknown
5308,3,Unknown
5331,5,Unknown
5354,4,Control
5444,3,Unknown
5459,0,Unknown
5800,3,Unknown
5833,6,Unknown
5845,6,Test
5938,3,Unknown
6022,1,Test
6096,3,Unknown
6130,7,Unknown
6150,0,Test
6366,0,Unknown
6468,3,Unknown
6512,3,Unknown
6567,3,Unknown
6642,3,Control
6904,3,Test
6938,4,Unknown
6977,3,Control
6985,3,Control
7005,3,Unknown
7020,8,Control
7082,5,Unknown
7111,3,Unknown
7157,4,Unknown
7259,3,Unknown
7367,3,Unknown
7419,3,Unknown
7561,3,Test
7563,3,Test
7567,3,Control
7657,4,Test
7723,3,Test
7856,3,Unknown
7934,1,Test
8002,6,Unknown
8016,1,Unknown
8023,1,Test
8030,2,Unknown
8039,3,Control
8055,3,Test
8101,3,Control
8124,0,Control
8427,3,Unknown
8583,2,Unknown
8610,0,Test
8673,3,Unknown
8712,4,Test
8820,3,Test
8983,4,Unknown
9229,5,Control
9282,5,Unknown
9412,3,Unknown
9536,4,Unknown
9651,3,Unknown
9751,4,Test
9754,3,Unknown
9767,6,Control
9845,0,Control
9872,2,Unknown
9916,3,Test
10203,5,Unknown
10344,0,Control
10363,1,Test
